Category: All categories

DMA,wuhan virus: (1/1/20 - 12/31/21)
Marquette MI,27
Evansville IN,27
Greenville-New Bern-Washington NC,27
Laredo TX,26
Sioux City IA,26
Joplin MO-Pittsburg KS,26
Ft. Wayne IN,26
Florence-Myrtle Beach SC,25
Lubbock TX,25
Lafayette LA,25
Charleston SC,25
Baton Rouge LA,23
Terre Haute IN,23
Lake Charles LA,23
Monroe LA-El Dorado AR,22
Tyler-Longview(Lufkin & Nacogdoches) TX,22
Columbus-Tupelo-West Point MS,22
Albany GA,22
Shreveport LA,21
Jackson MS,21
Macon GA,20
Harlingen-Weslaco-Brownsville-McAllen TX,17
Biloxi-Gulfport MS,17
Quincy IL-Hannibal MO-Keokuk IA,
Glendive MT,
St. Joseph MO,
Jackson TN,
Grand Junction-Montrose CO,
Yuma AZ-El Centro CA,
Helena MT,
Lima OH,
Ottumwa IA-Kirksville MO,
Victoria TX,
Cheyenne WY-Scottsbluff NE,
Greenwood-Greenville MS,
Great Falls MT,
Juneau AK,
Presque Isle ME,
Parkersburg WV,
North Platte NE,
Hattiesburg-Laurel MS,
Jonesboro AR,
Meridian MS,
Zanesville OH,
Alpena MI,
