GEOID,vics,off,GST.interest,n,hateful_tweets,users,hateful_users,sent_neg,sent_neu,sent_pos,sent_neg_sum,sent_neu_sum,sent_pos_sum,sent_compound,monthly_variation,weekly_variation,ALB,pop2020,tweets_rate,hateful_tweets_prop,hateful_tweets_rate,tweets_per_user,user_rate,hateful_tweets_per_user,hateful_tweets_per_hateful_users,vics_rate,off_rate,vics_off,pc1,pc2,pc3
6033,0,0,0.965732087,1725,19,158,10,0.08814029,0.804252174,0.107604058,152.042,1387.335,185.617,0.056751884,0.72243346,0.855263158,2,64276,0.026837389,0.011008111,0.0002956,10.8490566,0.002458149,0.119496855,1.727272727,0,0,0,0.13660128,0.107427982,-0.330963625
6037,92,87,0.797507788,1111859,7719,124981,5133,0.083184181,0.807110921,0.109704838,92489.08,897393.542,121976.312,0.086566763,0.67867392,0.829385568,2,10040682,0.110735406,0.006942421,0.000768772,8.896153046,0.012447461,0.061760894,1.503506038,9.16E-06,8.66E-06,1.045454545,0.105882698,0.100818787,-0.441011341
6047,0,0,0.401869159,7194,45,1385,30,0.094295802,0.797212955,0.108490826,678.364,5735.15,780.483,0.046355185,0.658326143,0.841432225,2,273661,0.026287999,0.006254343,0.000164437,5.19047619,0.005061006,0.032467532,1.451612903,0,0,0,0.06596727,0.131514132,-0.052830009
6057,0,0,0.61682243,2489,24,556,17,0.0812499,0.814275613,0.104482523,202.231,2026.732,260.057,0.074074769,0.582802548,0.851851852,2,99417,0.02503596,0.009638554,0.000241407,4.468581688,0.005592605,0.043087971,1.333333333,0,0,0,0.032435738,0.11133221,-0.17294415
6081,12,7,0.965732087,39086,280,7074,211,0.077437087,0.814784347,0.107778949,3026.706,31846.661,4212.648,0.09790961,0.691742326,0.843146491,2,765623,0.051051235,0.007163507,0.000365715,5.524522968,0.009239534,0.039575972,1.320754717,1.57E-05,9.14E-06,1.5,0.110519172,0.096565993,-0.364761826
6085,53,47,0.965732087,106560,786,14704,546,0.082369698,0.809820843,0.107810679,8777.315,86294.509,11488.306,0.08451146,0.718903478,0.862907227,2,1924379,0.055373708,0.007376057,0.000408443,7.246514791,0.007640906,0.053451207,1.436928702,2.75E-05,2.44E-05,1.104166667,0.144259064,0.102882573,-0.374964078
6115,0,0,0.61682243,2363,7,258,5,0.074925942,0.790851037,0.134223022,177.05,1868.781,317.169,0.150281253,0.570987654,0.802197802,2,77524,0.030480883,0.002961083,9.03E-05,9.123552124,0.003328002,0.027027027,1.166666667,0,0,0,-0.014659881,0.103740053,-0.141923854
8013,2,2,0.563862928,19888,148,3193,113,0.074961887,0.818834674,0.106201679,1490.842,16284.984,2112.139,0.096122858,0.659511032,0.838743455,2,324682,0.061253781,0.007441299,0.000455831,6.226675016,0.009834238,0.046336882,1.298245614,6.16E-06,6.16E-06,0.666666667,0.074761584,0.118909741,-0.152117134
8029,0,0,0.563862928,107,4,39,3,0.096728972,0.798373832,0.104925234,10.35,85.426,11.227,0.019528037,0.904761905,0.875,2,30758,0.00347877,0.037037037,0.000130047,2.675,0.001267963,0.1,1,0,0,0,0.246143769,0.153484192,-0.067577441
8049,0,0,0.563862928,348,1,198,1,0.052672414,0.829979885,0.117347701,18.33,288.833,40.837,0.210696264,0.847457627,0.95,2,15536,0.022399588,0.00286533,6.44E-05,1.748743719,0.012744593,0.005025126,0.5,0,0,0,0.256857871,0.153084254,-0.041040203
8077,0,0,0.124610592,5741,41,619,14,0.102449573,0.78777652,0.109774255,588.163,4522.625,630.214,0.011624769,0.571614583,0.849593496,2,152962,0.037532198,0.007140369,0.00026804,9.259677419,0.004046757,0.066129032,2.733333333,0,0,0,0.017032942,0.139587426,0.033087333
8083,0,0,0.498442368,369,5,71,5,0.076303523,0.813517615,0.110178862,28.156,300.188,40.656,0.093889702,0.887096774,0.961538462,2,26266,0.01404858,0.013513514,0.00019036,5.125,0.002703114,0.069444444,0.833333333,0,0,0,0.294618931,0.164022182,-0.041505208
8091,0,0,0.563862928,30,0,22,0,0.020966667,0.8173,0.161766667,0.629,24.519,4.853,0.421963333,0.875,0.666666667,2,4890,0.006134969,0,0,1.304347826,0.004498978,0,0,0,0,0,0.049830836,0.121868891,0.131283828
9009,2,1,0.576323988,44792,378,5553,254,0.082484372,0.8103773,0.107138953,3694.64,36298.42,4798.968,0.083240434,0.627691388,0.790199081,0,855733,0.05234343,0.008438819,0.000441727,8.064818149,0.006489174,0.068059057,1.482352941,2.34E-06,1.17E-06,1,0.12769051,-0.548292801,-0.14064111
11001,0,0,0.607476636,223454,1837,27600,1164,0.078064215,0.820975172,0.100961124,17443.761,183450.186,22560.167,0.077485831,0.683379833,0.848866019,0,701974,0.318322331,0.008220895,0.002616906,8.095866092,0.039317696,0.06655556,1.576824034,0,0,0,0.252430847,-0.532450094,-0.356500497
